nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
SHIELDER,,,,empresa4
SIENSU,,,,empresas2
SIGO - ERP,,,,empresas2
SIMO,,,,empresa3
SKYLINE - inovação & produções,,,,empresa3
SMART - imobiliário,,,,empresa3
SMART SKY - Tech Hub,,,,empresas2
SMARTBREAK,,,,empresa4
SOFT42,,,,empresa3
SOLOS,,,,empresa4
SOLSTAR,,,,empresa4
SOND,,,,empresa1
SOS OBRA,,,,empresas2
SPY Leilões,,,,empresa3
SQUAIR,,,,empresa4
STEEL GROUP,,,,empresas2
STEEL MOLD,,,,empresas2
SUB100,,,,empresa3
SUN MOBI,,,,empresa4
SUNRENT,,,,empresa4
SUPERVIZ,,,,empresas2
SUPPLAI,,,,empresa4
Safe2Go,,,,empresa3
SafetyTec,,,,empresas2
Seletto in,,,,empresa4
SeniorOnline,,,,empresa4
Seu Fiador,,,,empresa3
Seu condomínio,,,,empresa4
Share Student Living,,,,empresa4
Si9,,,,empresa3
SiiSmart,,,,empresa4
Siila,,,,empresa3
Silla Spot,,,,empresa3
Simple2u,,,,empresa3
SkambO OBRA,,,,empresas2
Skymoby,,,,empresa3
Smart Imobi,,,,empresa3
SmartSharing,,,,empresa4
SmartSíndico,,,,empresa4
Smartek Life,,,,empresa4
Smartop,,,,empresas2
Smarttcon - condomínios inteligentes,,,,empresa4
Socialis,,,,empresa3
SolarView,,,,empresa4
Solo landbank,,,,empresa1
Sonho=Casa (saia do aluguel),,,,empresa3
Sooper,,,,empresas2
SplitC,,,,empresa3
Star Colors,,,,empresa4
Studio360,,,,empresa3
SuaQuadra,,,,empresa3
Super Anfitrião,,,,empresa4
SupplyMaps - Soluções em compras B2B,,,,empresas2
Supremo - soluções integradas para imobiliárias,,,,empresa3
Symbaros,,,,empresa3
Syncker,,,,empresas2
Síndico Online - Gestão Condominial,,,,empresa4
Só Casa Top,,,,empresa3
T&D Sustentável,,,,empresa4
TABAS by BLUEGROUND,,,,empresa4
TCI,,,,empresas2
TEC4WEB,,,,empresas2
TECNORISE,,,,empresa4
TEGO FRAME,,,,empresas2
TERRA ump DRONES,,,,empresas2
TEZA,,,,empresa3
TKS Cash,,,,empresa3
TRACTIAN,,,,empresa4
TRADENERGY,,,,empresa4
TRINITYSIS,,,,empresa4
TUIM,,,,empresa4
Tag,,,,empresa4
Tecimob,,,,empresa3
Tecza,,,,empresas2
Telhas TELITE,,,,empresas2
Temporada Livre,,,,empresa3
Terravista,,,,empresa1
Terreno Certo - seu hub de negócios,,,,empresa3
Terreno Livre,,,,empresa1
Test Drive do Imóvel,,,,empresa4
Tetris Modular,,,,empresas2
Tikpag,,,,empresa3
TimBau Estruturas,,,,empresas2
Tokeniza,,,,empresa3
Trela,,,,empresa4
Trevizzo,,,,empresa4
Trucadão,,,,empresas2
Trustdata (tech),,,,empresa3
Turn2C,,,,empresa3
Tégula Solar,,,,empresas2
UBlink,,,,empresa3
UNIPOINT – Student Housing,,,,empresa4
UP Consórcios,,,,empresa3
UP Estate,,,,empresa3
USU CAMPEÃO - regularize seu imóvel,,,,empresa1
Uliving – Student Housing,,,,empresa4
Universo dos Containers - projetos residenciais e comerciais,,,,empresas2
VAI LOCAR equipamentos,,,,empresas2
VEJAOBRA,,,,empresas2
VERDEACQUA,,,,empresa4
VERSI,,,,empresa3
VIGHA,,,,empresas2
VILA11,,,,empresa4
VISIA,,,,empresas2
VISItown,,,,empresa3
VIVADecora,,,,empresa4
VIVER my way,,,,empresa4
VOR,,,,empresa3
VOXEPOWER,,,,empresa4
VR one,,,,empresa3
VSIO,,,,empresa3
Verta,,,,empresa3
Vertown - nada se perde,,,,empresas2
Visita Virtual,,,,empresa3
VistoPRED,,,,empresa4
Vivalisto,,,,empresa3
Voa Corretor,,,,empresa3
Você Recicla,,,,empresa4
Volpi,,,,empresa3
VoltBras,,,,empresa4
Vértice PRO,,,,empresa1
Vórtx QR Tokenizadora,,,,empresa3
WEHO,,,,empresa3
WasteBank,,,,empresa4
WeBro pay,,,,empresa3
WeMind Invest,,,,empresa3
WeObra,,,,empresas2
WebQuarto,,,,empresa3
WillFly,,,,empresas2
WiseHome,,,,empresa4
WiseOffices,,,,empresa4
X LAM ENGINEERING,,,,empresas2
XSpaces,,,,empresa3
YUCA,,,,empresa4
Ybizza,,,,empresa4
Ymove,,,,empresa3
YouHome,,,,empresa3
Zletric,,,,empresa4
ZuuZ - Mobilidade Elétrica,,,,empresa4
Zuvia,,,,empresa3
aMORA,,,,empresa3
accessrun,,,,empresa4
acolweb,,,,empresa4
acqua logic,,,,empresa4
aerosim,,,,empresa1
agencie imóveis,,,,empresa3
agendaboa,,,,empresa4
akomod,,,,empresa4
alba - energia solar,,,,empresa4
allie,,,,empresas2
allrea,,,,empresa1
almah,,,,empresa4
alpop,,,,empresa3
alugaê,,,,empresa3
aluguel pago,,,,empresa3
ambisis - software para gestão ambiental,,,,empresas2
amera,,,,empresas2
analize,,,,empresas2
andalafat negócios,,,,empresa3
andaluga - locação de máquinas,,,,empresas2
anyLife,,,,empresa4
ap.controle,,,,empresa4
apepê,,,,empresa4
app assist,,,,empresas2
appOBRA,,,,empresas2
appito,,,,empresa4
appê+,,,,empresa3
apresenta.me,,,,empresa3
apto,,,,empresa3
apê11,,,,empresa3
archie,,,,empresa4
archy.me,,,,empresa4
arco,,,,empresa1
armários inteligentes,,,,empresa4
arqgen,,,,empresa1
arquitetool,,,,empresa4
asksuite,,,,empresa3
atende portaria,,,,empresa4
atendeai,,,,empresa4
aterra,,,,empresas2
aug(in),,,,empresas2
avalion - avaliação e captação de imóveis,,,,empresa3
banib - Tour Virtual para negócios,,,,empresa3
be all bee,,,,empresa4
be my guest,,,,empresa4
beNuvem,,,,empresa4
beenergy,,,,empresa4
belong,,,,empresa4
bem.te.vi seguros,,,,empresa3
beupse,,,,empresa3
bhomy.com,,,,empresa4
bilds.com,,,,empresas2
bitz,,,,empresa4
blisk solutions,,,,empresa3
blow,,,,empresa3
bloxs,,,,empresa1
blue storm studios,,,,empresa3
bluelux,,,,empresa4
bnbguests,,,,empresa4
bolsovirtual,,,,empresa3
bom pra crédito,,,,empresa3
bomconsórcio,,,,empresa3
bomlead.com,,,,empresa3
brisk - your place,,,,empresa4
builtek,,,,empresas2
campeia.,,,,empresa3
capsu,,,,empresas2
captur,,,,empresa3
capys,,,,empresa3
casa e garagem,,,,empresas2
casaprogramada,,,,empresa3
casaway,,,,empresa3
cashgo,,,,empresa3
cedulla,,,,empresa3
celere - consultoria de eficiência da construção,,,,empresas2
charlie,,,,empresa4
chaves na mão,,,,empresa3
cim imob,,,,empresa3
clarke energia,,,,empresa4
clin,,,,empresa4
clina.care,,,,empresa4
cliqueimudei,,,,empresa3
co.urban,,,,empresas2
coliiv,,,,empresa4
communy,,,,empresa4
compagno,,,,empresa3
compre alugue agora,,,,empresa3
comproterreno,,,,empresa1
concede,,,,empresa3
concessus,,,,empresa4
concreto usinado .com.br,,,,empresas2
concretto - o app de quem constrói,,,,empresas2
condfy,,,,empresa4
condofy,,,,empresa4
condomob,,,,empresa4
condopay,,,,empresa4
conexa,,,,empresa4
conexão solar,,,,empresa4
