emresa,categoria_principal,subcategoria,
BIGMOB,Aquisição,Canal de parcerias,
órulo,Aquisição,Canal de parcerias,
nonstop,Aquisição,Canal de parcerias,
meit,Aquisição,Canal de parcerias,
Rankim,Aquisição,Intermediação digital,
imóveisjet,Aquisição,Intermediação digital,
Pilar,Aquisição,Intermediação digital,
Lokkan - A imobiliária digital,Aquisição,Intermediação digital,
MySide,Aquisição,Intermediação digital,
test house,Aquisição,Intermediação digital,
Kenlo,Aquisição,Intermediação digital,
Quick2Sell,Aquisição,Intermediação digital,
Comprei,Aquisição,Intermediação digital,
nethomes,Aquisição,Intermediação digital,
AoCubo,Aquisição,Intermediação digital,
apê11,Aquisição,Intermediação digital,
Neo - New Estate Only,Aquisição,Intermediação digital,
Ymove,Aquisição,Intermediação digital,
Homeroque,Aquisição,Intermediação digital,
Newcore,Aquisição,Intermediação digital,
UBlink,Aquisição,Intermediação digital,
Capt Imóveis,Aquisição,Intermediação digital,
HomeHub - by Judice&Araujo,Aquisição,Intermediação digital,
LAR,Aquisição,Intermediação digital,
IMOTECH - inovação e tecnologia,Aquisição,Intermediação digital,
ocka,Aquisição,Intermediação digital,
Aluggar,Aquisição,Intermediação digital,
7cantos.com,Aquisição,Intermediação digital,
mobg,Aquisição,Intermediação digital,
MUDEii,Aquisição,Intermediação digital,
UP Estate,Aquisição,Intermediação digital,
aluguel pago,Aquisição,Intermediação digital,
BoldHouse,Aquisição,Intermediação digital,
PlacetoBe,Aquisição,Intermediação digital,
Silla Spot,Aquisição,Intermediação digital,
Loppo,Aquisição,Intermediação digital,
Matched,Aquisição,Intermediação digital,
Plaza,Aquisição,Intermediação digital,
alugaê,Aquisição,Intermediação digital,
SuaQuadra,Aquisição,Intermediação digital,
Symbaros,Aquisição,Intermediação digital,
casaprogramada,Aquisição,Desitermediação,
Orbitare,Aquisição,Desitermediação,
Proprietário Direto,Aquisição,Desitermediação,
compre alugue agora,Aquisição,Desitermediação,
livima,Aquisição,Desitermediação,
ABRIGAR - LIcitações de imóveis particulares,Aquisição,Desitermediação,
zero comissão,Aquisição,Desitermediação,
VSIO,Aquisição,Desitermediação,
nobeehouse,Aquisição,Desitermediação,
mell.ro,Aquisição,Desitermediação,
moben,Aquisição,Desitermediação,
zimobi,Aquisição,Desitermediação,
querolar,Aquisição,Desitermediação,
ladyge,Aquisição,Plataforma de investimento,
CAPTAL,Aquisição,Plataforma de investimento,
Vórtx QR Tokenizadora,Aquisição,Plataforma de investimento,
invisto,Aquisição,Plataforma de investimento,
Capital Concreto - incorporação,Aquisição,Plataforma de investimento,
Tokeniza,Aquisição,Plataforma de investimento,
captur,Aquisição,Plataforma de investimento,
ribus,Aquisição,Plataforma de investimento,
neoin,Aquisição,Plataforma de investimento,
trix,Aquisição,Plataforma de investimento,
Ret Capital - Real Estate Tech,Aquisição,Plataforma de investimento,
Insignia,Aquisição,Plataforma de investimento,
revin.,Aquisição,Plataforma de investimento,
divvy,Aquisição,Plataforma de investimento,
liqi,Aquisição,Plataforma de investimento,
safe swap,Aquisição,Gestão de pagamentos,
Tikpag,Aquisição,Gestão de pagamentos,
SplitC,Aquisição,Gestão de pagamentos,
linkpay,Aquisição,Gestão de pagamentos,
bolsovirtual,Aquisição,Gestão de pagamentos,
Hashlar - Real Estate Crypto Payment,Aquisição,Gestão de pagamentos,
Safe2Go,Aquisição,Seguro,
credaluga,Aquisição,Seguro,
MigraSeguros,Aquisição,Seguro,
grazon,Aquisição,Seguro,
Fiança Rápida,Aquisição,Seguro,
Flix,Aquisição,Seguro,
180Seguros,Aquisição,Seguro,
granto seguros,Aquisição,Seguro,
Simple2u,Aquisição,Seguro,
bem.te.vi seguros,Aquisição,Seguro,
FCanalise digital,Aquisição,Análise de locatário,
euAcerto,Aquisição,Análise de locatário,
imobmeet,Aquisição,Showcase,
FOTOP,Aquisição,Showcase,
Alice Wonders - Tech Driven Experiences,Aquisição,Showcase,
FYRStudio,Aquisição,Showcase,
3D explora,Aquisição,Showcase,
piperz,Aquisição,Showcase,
ATT,Aquisição,Showcase,
SKYLINE - inovação & produções,Aquisição,Showcase,
